total_reward,mean_reward
-18933.485,-18.933485
-20119.436,-20.119436
-18085.367,-18.085366999999998
-14525.786,-14.525786
-9945.047,-9.945047
-9292.592,-9.292592
-9946.907,-9.946907
-8317.199,-8.317199
-8738.657,-8.738657
-7410.503,-7.410502999999999
-7780.562,-7.780562
-8568.365,-8.568365
-10600.708999999999,-10.600708999999998
-8485.423999999999,-8.485423999999998
-8122.682,-8.122682
-7964.4169999999995,-7.964416999999999
-8097.935,-8.097935
-7476.839,-7.476839
-8352.41,-8.352409999999999
-9178.19,-9.17819
-8526.655999999999,-8.526656
-7267.775,-7.267774999999999
-8555.851999999999,-8.555852
-11108.837,-11.108837
-10747.472000000002,-10.747472000000002
-7470.836,-7.470836
-8162.999000000001,-8.162999000000001
-11254.082,-11.254082
-12272.047999999999,-12.272047999999998
-9723.221,-9.723220999999999
-7284.4310000000005,-7.2844310000000005
-8055.871999999999,-8.055871999999999
-8330.219,-8.330219
-7630.697,-7.6306970000000005
-8619.560000000001,-8.619560000000002
-13943.321,-13.943321
-11493.019999999999,-11.493019999999998
-8467.361,-8.467361
-7557.386,-7.557386
-7427.033,-7.427033000000001
-16416.989,-16.416989
-12846.614,-12.846613999999999
-9573.578,-9.573578
-7243.493,-7.243493
-5467.1900000000005,-5.46719
-6766.915999999999,-6.766915999999999
-6488.573,-6.488573000000001
-8589.299,-8.589299
-9574.094,-9.574093999999999
-7221.002,-7.221002
-4203.986,-4.203986
-4749.932,-4.749931999999999
-4985.306,-4.985306
-5276.786,-5.276786
-4922.204,-4.922204
-4663.748,-4.663748
-4005.4610000000002,-4.005461
-2724.362,-2.724362
-3973.661,-3.973661
-3982.085,-3.982085
-3940.076,-3.940076
-4345.031000000001,-4.3450310000000005
-2978.4260000000004,-2.9784260000000002
-5193.074,-5.193073999999999
-4539.0470000000005,-4.539047
-3959.75,-3.95975
-4276.019,-4.276019
-3901.6309999999994,-3.901630999999999
-3228.6440000000002,-3.228644
-3283.922,-3.283922
-3167.8940000000002,-3.1678940000000004
-2575.238,-2.5752379999999997
-3081.827,-3.081827
-2598.6020000000003,-2.5986020000000005
-7706.933000000001,-7.706933000000001
-17966.212999999996,-17.966212999999996
-19141.925000000003,-19.141925000000004
-20305.253,-20.305253
-17486.759,-17.486759
-18689.912,-18.689912
