total_reward,mean_reward
-529.0305997675011,-0.4408588331395843
-284.914174749503,-0.23742847895791916
-210.47255521845136,-0.17539379601537614
-186.87968786187963,-0.15573307321823301
-225.6148997224966,-0.18801241643541383
-191.09620961387267,-0.1592468413448939
-136.9182856518758,-0.11409857137656317
-136.20950926534175,-0.11350792438778479
-94.75740137740188,-0.0789645011478349
-121.94579273609499,-0.10162149394674583
-90.40705759146374,-0.07533921465955312
-100.02174809047477,-0.0833514567420623
-95.69536900896094,-0.07974614084080078
-112.27509453632044,-0.09356257878026703
-102.37891992256814,-0.08531576660214012
-105.31753070990605,-0.08776460892492172
-118.10330034155979,-0.09841941695129983
-124.28049798653154,-0.10356708165544296
-109.99458543277473,-0.09166215452731227
-106.4148468871263,-0.08867903907260526
-90.7601116552108,-0.07563342637934234
-123.5321416683674,-0.10294345139030617
-95.95028048542682,-0.07995856707118901
-86.1816171370432,-0.07181801428086934
-101.17145375046957,-0.08430954479205797
-96.62452235184993,-0.08052043529320828
-114.1871798675148,-0.095155983222929
-95.12354921458541,-0.07926962434548784
-119.43820712855663,-0.09953183927379719
-114.46308271653632,-0.09538590226378027
-132.80758298500157,-0.11067298582083464
-94.30897229090615,-0.0785908102424218
-82.49522316090571,-0.06874601930075476
-107.39323739713838,-0.08949436449761532
-109.52382194395689,-0.09126985161996408
-117.2015085423032,-0.09766792378525267
-146.82237328943683,-0.12235197774119735
-119.21819401492037,-0.09934849501243365
-63.3826965402517,-0.05281891378354309
-57.16117291503379,-0.04763431076252816
-60.724536141081636,-0.05060378011756803
-83.39989707018125,-0.06949991422515105
-123.96451075622356,-0.10330375896351963
-92.17533024120995,-0.0768127752010083
-227.5478665712845,-0.18962322214273708
-229.83600086960806,-0.19153000072467338
-72.90595131928997,-0.06075495943274164
-96.59355598328139,-0.08049462998606782
-82.48792379053738,-0.06873993649211449
-86.56382600033879,-0.07213652166694899
-79.012434109931,-0.06584369509160916
-102.70571639843854,-0.08558809699869878
-87.90360809201789,-0.07325300674334824
-87.27395272981127,-0.0727282939415094
-94.3263080241315,-0.07860525668677626
-97.3727529401969,-0.08114396078349742
-77.67146769627199,-0.06472622308022666
-91.40491261743554,-0.07617076051452962
-93.16525102740901,-0.0776377091895075
-88.42432673983947,-0.07368693894986622
-104.33327845961426,-0.08694439871634523
