reward,reward_accumulate
-0.09910737996569349,-0.09910737996569349
-0.14555581587622876,-0.12233159792096124
-0.22886571497993635,-0.15784297027395294
-0.1648343062675705,-0.15959080427235742
-0.17040877819063924,-0.16175439905601377
-0.10107616513004469,-0.15164136006835233
-0.08989963645323311,-0.14282111383762108
-0.09153814799594623,-0.13641074310741166
-0.04868539994146248,-0.1266634827556396
-0.0493840161166241,-0.11893553609173808
-0.0528359254788689,-0.11292648058147726
-0.06963194664679212,-0.10931860275358692
-0.05211672294375142,-0.10491845815283031
-0.05047986571342304,-0.1010299872643012
-0.05428471843265476,-0.09791363600885813
-0.046794276217574204,-0.09471867602190283
-0.052748776358843924,-0.09224985839466408
-0.035576345357909045,-0.08910132989262215
-0.04307402158787548,-0.08667883998184603
-0.0385787737169787,-0.08427383666860269
-0.038431878262245346,-0.08209088626829994
-0.03925499566818518,-0.08014380033193112
-0.04842562229275739,-0.07876474911283661
-0.035964577192957946,-0.07698140861617497
-0.0314395522033355,-0.07515973435966136
-0.028314671844063097,-0.07335800118598451
-0.027501366444983365,-0.07165960730668822
-0.03993206837863056,-0.0705264809164005
-0.03146022183686234,-0.06917936853434743
-0.033828373945708146,-0.06800100204805946
-0.02846526968127721,-0.06672565584267938
-0.027701037534244223,-0.06550613652054077
-0.020031630675304227,-0.06412812119189726
-0.024128981852906066,-0.06295167591722106
-0.02053980506329575,-0.06173990817853748
-0.0177827938522377,-0.06051887722502918
-0.016490245357625884,-0.05932891420158583
-0.021728025942748145,-0.05833941714214273
-0.026011106182865385,-0.05751048609190486
-0.022267079356856293,-0.05662940092352863
-0.016919937614025132,-0.05566087742817492
-0.009858394182242216,-0.054570342112795565
-0.011966722093137,-0.053579560251873284
-0.01568717303356549,-0.052718369633275385
-0.009588435168506713,-0.051759926645169416
-0.009351562872190642,-0.05083800569358294
-0.008359531627786777,-0.049934208373034104
-0.014249396651084358,-0.04919077479549349
-0.017783574931598375,-0.048549811532965
-0.011306014891205387,-0.04780493560012979
-0.017920013091260602,-0.04721895672740688
-0.012480715272782064,-0.04655091362251024
