server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
5,221,109,77,105,79,104,100
7,220,110,109,100,52,100,102
6,210,108,107,100,60,101,108
6,220,97,95,110,72,94,106
1,218,91,96,109,69,107,109
5,216,111,109,104,47,102,106
5,217,107,102,107,64,95,103
2,219,105,97,109,58,101,109
5,210,109,106,88,84,95,103
4,218,100,86,106,82,101,103
8,215,109,72,102,87,102,105
4,214,108,76,87,108,98,105
5,208,109,94,78,107,93,106
3,220,108,94,93,97,78,107
10,217,108,101,97,82,83,102
6,219,105,93,101,73,98,105
4,214,100,77,106,90,109,100
3,213,108,102,100,85,102,87
5,208,91,83,107,103,102,101
6,222,106,60,107,99,99,101
5,214,97,60,108,104,104,108
5,193,102,102,97,110,105,86
1,220,96,69,109,109,108,88
5,222,77,91,109,108,105,83
2,217,108,92,102,109,87,83
3,220,106,103,96,105,86,81
3,221,93,71,108,108,106,90
9,219,82,68,107,106,101,108
5,219,89,55,109,109,106,108
4,221,109,78,94,109,89,96
6,216,101,53,103,109,102,110
4,222,68,69,110,110,108,109
5,211,104,95,102,106,88,89
5,210,109,111,94,107,95,69
5,210,108,109,93,109,91,75
1,225,78,64,110,107,111,104
4,219,101,64,109,109,102,92
10,211,106,96,104,107,90,76
4,211,105,106,108,107,91,68
8,221,72,60,109,111,108,111
3,218,104,73,103,94,104,101
5,223,91,70,101,93,107,110
4,221,85,73,105,96,108,108
9,216,86,89,109,74,109,108
18,433,151,202,219,143,219,215
4,215,108,111,109,39,111,103
8,219,108,110,83,68,108,96
3,221,104,109,102,51,109,101
4,217,74,109,109,71,105,111
19,216,93,101,101,68,96,106
5,223,109,101,101,59,95,107
9,215,105,98,102,72,89,110
5,218,105,108,99,76,91,98
4,203,102,105,96,83,101,106
4,222,108,81,110,112,105,58
9,213,107,109,99,71,105,87
5,220,105,109,90,56,109,106
8,213,106,110,90,60,104,109
6,222,108,108,84,67,107,98
9,223,110,107,86,82,106,77
12,214,93,103,90,82,105,101
8,223,99,108,79,58,111,114
7,214,101,108,91,62,108,109
4,219,93,97,102,67,108,110
3,221,105,102,99,55,106,109
9,216,99,92,102,68,107,107
3,222,102,103,105,67,102,96
3,221,108,105,104,76,94,89
6,218,107,108,97,89,89,86
7,223,107,107,96,85,94,81
1,218,109,108,103,92,94,75
11,218,102,103,96,88,99,83
9,217,85,100,101,91,108,89
5,222,108,102,89,78,101,95
7,221,91,84,106,96,105,90
4,218,103,87,100,84,108,96
5,219,105,82,101,90,105,93
6,220,105,85,105,81,109,89
4,221,98,97,102,77,107,94
5,218,95,102,94,83,109,94
6,218,77,104,93,95,107,100
4,220,107,110,78,83,104,94
4,223,107,94,81,104,106,81
2,219,104,103,77,95,108,92
2,216,105,91,80,90,108,108
4,222,109,96,80,73,109,107
5,217,107,100,78,80,109,104
4,223,104,90,92,67,110,110
6,218,105,82,98,80,109,102
5,220,89,88,100,90,105,103
5,221,91,81,96,100,105,101
8,216,102,95,86,80,107,106
4,211,95,99,108,66,109,108
2,218,103,82,92,92,109,102
9,217,89,67,108,99,107,104
6,220,75,74,111,94,111,109
8,213,93,94,110,66,106,110
8,222,91,100,110,51,108,110
3,221,85,108,109,56,109,109
6,215,82,102,109,69,107,110
3,221,92,105,109,58,108,104
6,209,94,91,110,71,108,111
4,221,101,89,103,83,106,93
3,223,108,95,88,86,107,90
3,217,92,101,84,91,109,103
1,218,99,95,84,88,108,107
3,213,88,100,95,85,106,110
2,220,101,107,89,83,107,91
8,222,107,109,85,89,103,77
4,220,109,102,75,100,111,79
4,212,105,101,85,97,107,89
7,223,108,90,76,95,109,92
5,220,98,79,93,90,108,107
5,220,103,98,94,70,107,103
2,203,100,108,98,71,108,110
6,219,79,103,101,86,105,101
