server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
0.0,0.0,-0.07825127842359378,-0.08114943985453996,-0.08283522978653075,-0.13394852871192356,-0.0775125481831136,-0.015460149540283725
0.0,0.0,-0.4337843774789205,-0.09646154485476133,-0.0018210488128680591,-0.1131349008242236,-0.03158787621030174,-0.10413508093634154
0.0,0.0,-0.11986709959341078,-0.16343990617555657,-1.1517703974577966,-0.08599721722974205,-0.16559019736154823,0.0
0.0,0.0,-0.00477806216995292,-0.03341272251823724,-0.013081687641068452,-0.09151206873280726,0.0,-0.12464396397177803
0.0,0.0,-0.06527670619694528,-0.18059508662467583,-0.1511570794175119,-0.05654058978432006,-0.05307890451635851,-0.030797630664929427
0.0,-0.007455289279417748,-0.016358407722369284,-0.13168119751650464,-0.0908236187060745,-0.21427618347248825,-0.012609657669320515,-0.065990098609166
0.0,0.0,-0.019623387372952238,-0.4084299201948799,-0.05589258207465559,-0.08070493778933802,-0.02827585110586517,0.0
0.0,-1.882786635940783e-05,-0.009614225256072603,-0.01830944551907757,-0.15159508244423772,-0.786147060362276,-0.012328763411868903,0.0
0.0,0.0,-0.031794465624511194,-0.08018904156977769,-0.10743603472988028,-0.016040024901664646,-0.13927118065021887,-0.006617419177009964
0.0,0.0,-0.05707444233986865,-0.0896584726009333,-0.18784955376122547,-0.08602300415236651,-0.12179314557949618,0.0
0.0,-0.0001525977074218191,-0.09434409712506518,-0.04018753428489867,-0.1104850894799636,-0.09244813281334865,-0.10832632675437014,-0.0006956242080003713
0.0,0.0,-0.07130473350050635,-0.03237066475274863,-0.05544317641983129,-0.02499376573249052,-0.026776726305944503,-0.0007744794782547394
0.0,-0.005129746267086871,-0.015529216294057088,-0.09041277035394889,-0.027219816188810128,-0.03643724351887762,-0.011402113864370374,-0.002650722370448898
0.0,0.0,-0.03762884810873255,-0.04186521765910868,-0.0920132838295615,-0.025405415706493215,-0.025854079263450083,-0.0005280510604457578
0.0,0.0,-0.0040620423984589656,-0.07209925748559795,-0.009098288360995375,-0.11560444775445121,-0.04641781448547343,-0.004005541565080681
0.0,0.0,-0.006973133264762838,-0.007603682973442837,-0.036544850687002264,-0.07980400786777765,-0.004279183553817091,-0.0034842088091051786
0.0,0.0,-0.03581968033701603,-0.01645171673771597,-0.011719016422385497,-0.0712535297227113,-0.01773222842641197,0.0
